 

stn;time;gre000z0;tre200s0;sre000z0
STG;202406182050;0;22.4;0
STG;202406182100;0;22.9;0
STG;202406182110;0;22.8;0
STG;202406182120;0;22.0;0
STG;202406182130;0;22.7;0
STG;202406182140;0;22.6;0
STG;202406182150;0;22.5;0
STG;202406182200;0;21.5;0
STG;202406182210;0;22.6;0
STG;202406182220;0;22.1;0
STG;202406182230;0;22.1;0
STG;202406182240;0;21.9;0
STG;202406182250;0;21.6;0
STG;202406182300;0;21.3;0
STG;202406182310;0;20.9;0
STG;202406182320;0;20.2;0
STG;202406182330;0;22.3;0
STG;202406182340;0;21.1;0
STG;202406182350;0;20.4;0
STG;202406190000;0;20.8;0
STG;202406190010;0;19.8;0
STG;202406190020;0;19.3;0
STG;202406190030;0;20.4;0
STG;202406190040;0;19.3;0
STG;202406190050;0;18.7;0
STG;202406190100;0;18.9;0
STG;202406190110;0;18.9;0
STG;202406190120;0;18.9;0
STG;202406190130;0;19.3;0
STG;202406190140;0;18.0;0
STG;202406190150;0;19.0;0
STG;202406190200;0;19.3;0
STG;202406190210;0;19.2;0
STG;202406190220;0;18.9;0
STG;202406190230;0;18.3;0
STG;202406190240;0;18.9;0
STG;202406190250;0;18.5;0
STG;202406190300;0;17.5;0
STG;202406190310;0;17.8;0
STG;202406190320;0;17.7;0
STG;202406190330;2;17.5;0
STG;202406190340;7;18.0;0
STG;202406190350;13;17.3;0
STG;202406190400;19;17.9;0
STG;202406190410;26;18.5;0
STG;202406190420;52;18.1;0
STG;202406190430;79;18.6;9
STG;202406190440;101;18.1;10
STG;202406190450;123;18.3;10
STG;202406190500;140;18.0;10
STG;202406190510;173;18.2;10
STG;202406190520;203;18.5;10
STG;202406190530;231;18.3;10
STG;202406190540;259;18.2;10
STG;202406190550;287;18.6;10
STG;202406190600;319;18.8;10
STG;202406190610;347;18.5;10
STG;202406190620;374;18.6;10
STG;202406190630;406;18.7;10
STG;202406190640;432;18.8;10
STG;202406190650;461;18.9;10
STG;202406190700;490;18.7;10
STG;202406190710;517;19.2;10
STG;202406190720;544;19.1;10
STG;202406190730;573;19.6;10
STG;202406190740;598;19.5;10
STG;202406190750;623;19.4;10
STG;202406190800;648;20.1;10
STG;202406190810;673;20.4;10
STG;202406190820;698;20.7;10
STG;202406190830;720;21.2;10
STG;202406190840;742;22.0;10
STG;202406190850;761;21.4;10
STG;202406190900;782;21.9;10
STG;202406190910;804;22.8;10
STG;202406190920;822;22.7;10
STG;202406190930;837;22.7;10
STG;202406190940;852;23.2;10
STG;202406190950;863;23.7;10
STG;202406191000;875;23.8;10
STG;202406191010;886;23.7;10
STG;202406191020;898;23.6;10
STG;202406191030;904;24.0;10
STG;202406191040;912;24.2;10
STG;202406191050;919;24.4;10
STG;202406191100;920;24.1;10
STG;202406191110;921;24.9;10
STG;202406191120;928;25.5;10
STG;202406191130;926;25.0;10
STG;202406191140;923;24.3;10
STG;202406191150;922;25.0;10
STG;202406191200;914;25.4;10
STG;202406191210;910;25.1;10
STG;202406191220;913;25.7;10
STG;202406191230;827;25.3;10
STG;202406191240;578;25.0;9
STG;202406191250;743;25.3;10
STG;202406191300;557;25.1;6
STG;202406191310;510;25.3;3
STG;202406191320;713;25.2;10
STG;202406191330;855;26.2;10
STG;202406191340;767;25.6;10
STG;202406191350;771;26.0;10
STG;202406191400;778;26.0;10
STG;202406191410;752;26.4;10
STG;202406191420;729;25.9;10
STG;202406191430;704;26.8;10
STG;202406191440;652;26.6;10
STG;202406191450;487;25.4;7
STG;202406191500;618;26.0;10
STG;202406191510;598;26.1;10
STG;202406191520;573;26.0;10
STG;202406191530;551;25.9;10
STG;202406191540;526;25.8;10
STG;202406191550;498;25.4;10
STG;202406191600;465;25.5;10
STG;202406191610;434;26.2;10
STG;202406191620;406;25.5;10
STG;202406191630;358;25.5;10
STG;202406191640;368;25.6;10
STG;202406191650;311;25.8;10
STG;202406191700;313;25.7;10
STG;202406191710;265;25.5;10
STG;202406191720;221;25.4;10
STG;202406191730;175;25.4;8
STG;202406191740;121;24.6;4
STG;202406191750;102;24.5;1
STG;202406191800;103;24.3;5
STG;202406191810;48;23.8;0
STG;202406191820;32;23.5;0
STG;202406191830;10;23.4;0
STG;202406191840;5;22.9;0
STG;202406191850;3;23.4;0
STG;202406191900;3;24.0;0
STG;202406191910;3;23.0;0
STG;202406191920;1;23.0;0
STG;202406191930;0;22.7;0
STG;202406191940;0;22.2;0
STG;202406191950;0;21.9;0
STG;202406192000;0;21.9;0
STG;202406192010;0;21.4;0
STG;202406192020;0;21.0;0
STG;202406192030;0;22.1;0
STG;202406192040;0;21.4;0
STG;202406192050;0;21.1;0
STG;202406192100;0;21.0;0
STG;202406192110;0;21.3;0
STG;202406192120;0;21.3;0
STG;202406192130;0;21.2;0
STG;202406192140;0;20.6;0
STG;202406192150;0;20.9;0
STG;202406192200;0;20.1;0
STG;202406192210;0;19.4;0
STG;202406192220;0;19.1;0
STG;202406192230;0;18.9;0
STG;202406192240;0;18.6;0
STG;202406192250;0;18.5;0
STG;202406192300;0;18.3;0
STG;202406192310;0;17.5;0
STG;202406192320;0;17.7;0
STG;202406192330;0;17.5;0
STG;202406192340;0;17.9;0
STG;202406192350;0;17.6;0
STG;202406200000;0;17.5;0
STG;202406200010;0;17.5;0
STG;202406200020;0;17.1;0
STG;202406200030;0;17.4;0
STG;202406200040;0;17.4;0
STG;202406200050;0;17.3;0
STG;202406200100;0;17.5;0
STG;202406200110;0;17.1;0
STG;202406200120;0;17.2;0
STG;202406200130;0;16.9;0
STG;202406200140;0;16.8;0
STG;202406200150;0;16.9;0
STG;202406200200;0;16.7;0
STG;202406200210;0;16.8;0
STG;202406200220;0;16.8;0
STG;202406200230;0;16.7;0
STG;202406200240;0;16.5;0
STG;202406200250;0;16.5;0
STG;202406200300;0;16.5;0
STG;202406200310;0;16.5;0
STG;202406200320;0;16.5;0
STG;202406200330;0;16.5;0
STG;202406200340;0;16.5;0
STG;202406200350;3;16.5;0
STG;202406200400;3;16.4;0
STG;202406200410;3;16.4;0
STG;202406200420;3;16.0;0
STG;202406200430;9;16.0;0
STG;202406200440;16;16.0;0
STG;202406200450;23;16.2;0
STG;202406200500;22;16.2;0
STG;202406200510;21;16.0;0
STG;202406200520;31;16.2;0
STG;202406200530;58;16.5;0
STG;202406200540;109;16.9;0
STG;202406200550;234;17.4;2
STG;202406200600;210;17.5;0
STG;202406200610;99;17.0;0
STG;202406200620;175;17.6;0
STG;202406200630;221;17.5;0
STG;202406200640;169;17.9;0
STG;202406200650;203;17.8;0
STG;202406200700;189;17.9;0
STG;202406200710;157;18.1;0
STG;202406200720;189;18.0;0
STG;202406200730;331;18.2;0
STG;202406200740;259;17.8;0
STG;202406200750;316;18.3;1
STG;202406200800;410;18.5;4
STG;202406200810;248;18.3;0
STG;202406200820;195;18.5;0
STG;202406200830;197;18.7;0
STG;202406200840;236;18.6;0
STG;202406200850;243;19.0;0
STG;202406200900;270;19.5;0
STG;202406200910;205;19.5;0
STG;202406200920;141;19.5;0
STG;202406200930;166;19.3;0
STG;202406200940;165;19.2;0
STG;202406200950;150;18.7;0
STG;202406201000;151;18.5;0
STG;202406201010;230;18.5;0
STG;202406201020;199;18.7;0
STG;202406201030;201;18.6;0
STG;202406201040;179;18.6;0
STG;202406201050;167;18.5;0
STG;202406201100;201;18.8;0
STG;202406201110;156;18.7;0
STG;202406201120;111;18.6;0
STG;202406201130;66;18.4;0
STG;202406201140;29;18.4;0
STG;202406201150;63;18.8;0
STG;202406201200;77;18.6;0
STG;202406201210;67;18.7;0
STG;202406201220;81;18.7;0
STG;202406201230;123;19.0;0
STG;202406201240;559;20.1;3
STG;202406201250;527;20.3;3
STG;202406201300;370;20.5;0
STG;202406201310;428;20.8;0
STG;202406201320;524;21.9;1
STG;202406201330;657;21.7;3
STG;202406201340;505;21.9;2
STG;202406201350;517;22.7;0
STG;202406201400;765;23.7;6
STG;202406201410;577;22.9;10
